CDS_ID	Low_A	Low_B	High_A	High_B
CDS_1903	50	21	10	19
CDS_1909	2	0	0	5
CDS_1911	0	0	16	0
CDS_1914	170	99	57	48
CDS_1921	416	175	112	84
CDS_1922	117	141	99	115
CDS_1928	0	1	0	6
CDS_1929	4	24	12	17
CDS_1935	91	64	113	71
CDS_1938	127	86	39	42
CDS_1940	2	1	0	10
CDS_1941	11	0	0	13
CDS_1942	0	1	0	7
CDS_1944	45	29	16	27
CDS_1945	9	17	0	10
CDS_1946	23	41	57	51
CDS_1952	18	15	18	21
CDS_1953	179	86	41	82
CDS_1954	10	127	9	9
CDS_1958	37	38	21	22
CDS_1960	121	23	0	0
CDS_1961	4	0	4	0
CDS_1962	15	15	0	17
CDS_1963	195	138	70	85
CDS_1968	1044	852	186	128
CDS_1969	88	83	27	35
CDS_1972	8	1	0	0
CDS_1975	136	95	59	50
CDS_1978	532	365	220	151
CDS_1979	76	18	34	37
CDS_1981	70	62	67	35
CDS_1982	1	5	34	32
CDS_1984	167	167	88	64
CDS_1986	19	7	10	0
CDS_1987	52	39	7	1
CDS_1989	4	0	0	0
CDS_1991	49	17	19	34
CDS_1996	62	30	4	22
CDS_1997	104	121	8	45
CDS_2001	40	29	20	41
CDS_2006	0	0	4	9
CDS_2012	1	0	21	7
CDS_2018	0	0	0	8
CDS_2019	0	0	7	0
CDS_2025	16	47	24	4
CDS_2026	138	45	11	41
CDS_2028	0	0	8	0
CDS_2029	18	18	0	1
CDS_2030	0	9	0	0
CDS_2033	175	61	0	0
CDS_2034	47	27	0	15
CDS_2035	1	0	13	0
CDS_2037	45	26	64	24
CDS_2038	1	3	0	0
CDS_2039	3	0	0	7
CDS_2040	66	51	1	15
CDS_2045	37	14	0	3
CDS_2048	127	124	45	22
CDS_2060	35	25	43	7
CDS_2063	22	38	18	20
CDS_2065	44	24	3	0
CDS_2070	0	0	0	5
CDS_2072	13	12	9	5
CDS_2078	142	62	102	73
CDS_2079	0	0	13	0
CDS_2082	2	9	12	0
CDS_2088	11	10	8	0
CDS_2093	2	3	0	3
CDS_2097	0	0	14	12
CDS_2098	12	18	1	10
CDS_2099	26	10	51	22
CDS_2101	20	14	17	10
CDS_2107	66	37	23	18
CDS_2116	6	0	0	0
CDS_2117	301	222	105	107
CDS_2118	1217	938	519	476
CDS_2122	494	113	7	66
CDS_2124	2220	1115	665	569
CDS_2125	517	233	45	61
CDS_2126	1	2	84	38
CDS_2129	344	203	33	49
CDS_2130	321	203	73	79
CDS_2131	743	490	135	72
CDS_2132	734	442	155	90
CDS_2134	558	444	489	471
CDS_2135	650	614	443	104
CDS_2138	287	153	132	126
CDS_2139	481	342	421	258
CDS_2140	640	359	296	322
CDS_2141	39	22	6	2
CDS_2142	23	9	3	2
CDS_2143	2148	1817	969	937
CDS_2146	2	5	72	7
CDS_2147	1	4	23	13
CDS_2152	530	376	217	189
CDS_2154	358	290	109	54
CDS_2155	494	327	182	112
CDS_2156	219	165	72	46
CDS_2163	101	55	55	43
CDS_2164	667	529	580	616
CDS_2165	208	72	288	180
CDS_2166	257	164	150	236
CDS_2167	42	17	20	8
CDS_2176	32	10	8	64
CDS_2177	72	71	25	108
CDS_2178	100	55	55	30
CDS_2182	39	20	0	9
CDS_2185	848	683	158	250
CDS_2186	845	517	140	103
CDS_2187	738	477	182	186
CDS_2188	22	0	0	0
CDS_2189	247	139	17	26
CDS_2192	116	70	31	9
CDS_2193	1043	1011	719	439
CDS_2194	254	100	23	28
CDS_2199	1237	1085	847	669
CDS_2207	2728	1610	1306	698
CDS_2214	705	574	295	257
CDS_2220	109	72	63	60
CDS_2221	623	395	237	296
CDS_2222	322	232	72	75
CDS_2223	730	661	347	245
CDS_2224	260	195	69	83
CDS_2231	253	398	95	74
CDS_2232	67	71	92	26
CDS_2233	110	85	10	29
CDS_2234	862	825	124	115
CDS_2236	76	63	43	15
CDS_2237	146	151	100	27
CDS_2240	57	17	28	22
CDS_2243	697	704	459	398
CDS_2245	30	61	28	31
